날짜,리뷰
2021.12.24,"역시 칼하트 이쁘네요ㅋ
수납공간갠툰하구요.
다만 노트북을 15.6인치를 넣어보니까 조금 끼는거같지만잘 들어가긴합니다 참고하세엉"
2021.12.15,오래 고민하다 고른 가방인데 무난하게 매기 좋아 만족합니다
2021.12.13,가방이 너무 좋아요 제질도 좋고 스타일리쉬하게 매도 좋아요
2021.12.08,생각보다 딴딴하고 좋네용 그래서 무거운 감이 없지않아 있긴 한데 예뻐서 감수 ㄱㄴ
2021.12.04,가방 사이즈 적당하고 내구도가 일단 말이 안되네요.. 수납공간도 너무 많고 좋습니다. 세미정장 캐쥬얼 아무거나 입어도 다 예쁠듯
2021.12.03,이뻐요 많이파세요♥이뻐요 많이파세요♥이뻐요 많이파세요♥이뻐요 많이파세요♥이뻐요 많이파세요♥이뻐요 많이파세요♥
2021.12.01,15인치 노트북 충분히 들어가는 크기이며 가벼워 아이가 마음에 들어합니다. 하지만 가방 바닥 지지대가 없어 약간 아쉬워요.
2021.12.01,"가방 튼튼하고 무난하게 예뻐요
가격도 적당한듯"
2021.11.30,수납 공간도 많고 탄탄해서 좋아요! 활용도 높을 것 같습니다??
2021.11.30,"색감 왜 이렇게 찍히는지 모르겠네요;
상품 페이지랑 색상 똑같습니다.
투박한 듯 하면서도 귀여워요.
주변 사람들이 다들 잘 샀대요.

예전 가방은 지퍼 칠이 벗겨져서 엄청 흉했는데 이건 칠 자체가 안 돼있는데 거기다 쇠 냄새도 안 나서 딱 좋네요.
모두 칼하트하세요!"
2021.11.14,가방 이쁘고 멋지고 괜찮아요 학교 들고가기 좋음 저렴함
2021.11.12,대학생활하면서 매고 다니는데 이쁜것 같아요. 크기도 적당해요
2021.11.03,잘매고 다니고 있어욥 매우 만족해해용!! 디자인이 예뻐용
2021.11.01,진짜 개이쁩니당ㅎ 브라운색깔이 주는 매력이 있습니다. 어느옷에 입어도 잘어울려요ㅎ
2021.10.28,수납도 은근 잘 되고 무난하게 잘 쓸 거 같아용 노트북이랑 아이패드 12.9인치 두 개 다 넣어도 거뜬함 !!
2021.10.25,가방 퀄리티가 좋고 핏도 예뻐서 강추강추합니다
2021.10.24,가방 크기 클줄알았는데 적당해서 좋습니다! 튼튼해서 오래쓸것같아요
2021.10.21,"수납공간 넉넉하고, 디자인 예쁘고, 과하지 않아서 좋습니다. 학생용 가방으로는 최고같아요"
2021.10.21,개이뻐요 진짜 레알루 이쁩니다 가방 몇년만에 사보는데 맘에 드네요 잘 메고 다닐게요ㅎㅎ
2021.10.17,큰 사이즈를 예상하고 산건데 엄청 크진 않았어요 적당한 사이즈에 적당한 수납공간이 있는 것 같아요 대학생 백팩으로 잘 쓸 것 같아요~
2021.10.12,수납도 넉넉히 들어가고 나름 모양이 잡혀있어 마음에 들어용
2021.10.09,생각보다 작아서 걱정이었는데 그래도 들어갈 공간은 많아서 좋아요
2021.10.08,수납공간 괜찮구 들고 다니기 딱 좋은거 같아요무난해요
2021.10.06,공간도 넉넉하고 크기도 적당하고 너무 예쁩니다
2021.10.01,"163 여자
가방이 질기고 단단해서 튼튼합니다 다르게 말하면 어깨쪽도 그렇고 가방 자체가 유연하지는 않아요 단단하고 고집있는 느낌이 강해요 무게감도 가벼운 편은 아닙니다
제 기준 엉덩이 조금 가리고 생각보다 가방이 길지는 않았어요 저에겐 딱 적당했습니다
수납공간이 여기저기 많아서 물건 나눠 넣기에 너무 좋고 책도 많이 들어가서 대학생들 전공교재 넣어 다니기에도 좋습니다
튼튼해서 여러 해 오랫동안 사용할 것 같아요"
2021.09.29,구매하고보니깐 생각보다 여기저기서 같은 가방 매고있는 사람들 보여서 가끔씩 민망...ㅎㅎ 칼하트에 색도 예쁘긴하지만 비교적 튀는 색이라 같은 가방메고있는게 너무 잘보여요 ㅎㅎ 그거 말곤 최고 너무 잘쓰고있어요.
2021.09.26,덩치가 큰데도 불구하고 가방이 작다고 느껴지진 않네요~
2021.09.25,깔끔하게 매고 다니기 좋아요 실물이 훨씬 예쁩니다
2021.09.23,칼하트 제품 처음 사봤는데 나름 좋았어요 무엇보다 수난공간 빵빵하고 가방이 밑잘이 가죽이라 짱짱해서 오래쓸 것 같습니당
2021.09.18,생각보단 크지않았는데 매보니까 적당하고조아용
2021.09.17,가방이 쇼핑몰 사진과 같아 너무 이뻐서 맘에 듭니다
2021.09.16,"크기도 딱좋고 수납력도 좋아서 마음에 듭니다
노트북 수납하는 공간도 있어서 편하고
가방자체도 크게 무겁지않아 좋습니다"
2021.09.16,예전부터 갖고싶었는데 드디어 샀어요! 기대한 만큼이나 역시 좋아요
2021.09.13,"진짜 대만족이에요ㅠㅠ 너무 예쁘고 처짐도 없고 수납공간 넉넉하고.. 제가 바라던.. 제가 그렇게 찾던 가방이에요...
왜 고민했나 싶어요.. 당장..... 사세요..."
2021.09.08,끈 늘리고 줄이는ㄱㅔ 너무 빡빡하긴 한데 이쁘고 수납 좋아요 작다는 느낌은 못받았어요 물건 넣음 커요!
2021.09.08,"가방도 가볍고 노트북 15,6인치도 잘 들어가는 정도로 커요 ! 수납공간도 많아서 좋습니다 ^^"
