날짜,리뷰
2021.04.27,수납공간도 꽤 많고 디자인도 정말 마음에 드는 가방입니다
2021.04.23,잘 메고 다니고 있어요 수납공간도 많이 있고 무엇보다 예쁘네요 굳
2021.04.19,수납공간 적당하고 15인치 노트북 파우치 끼고 딱맞게 들어가는 정도의 크기에요
2021.04.12,대학생인데 전공책 두꺼운거랑 노트북 패드 필통 다 들어갈 만큼 넉넉하고 튼튼합니다
2021.04.09,작다는 평이 많아서 걱정했는데 165/50중반 상하의 다 M입는 여자인데 하나도 안작아요.... 엄청 큰건 아닌데 딱 적당해요!!! 수납공간도 적당하고 축축 쳐지지 않아서 넘 좋아요.!!! 다만 가방 자체가 무게가 좀 있어서 책을 좀만 넣어도 무겁긴해용
2021.04.04,생각보다 가방이 작긴 한데 수납도 잘되어있어서 좋아요
2021.03.31,"많이 돌어가요,
가지거 다니기도 편아고
잘쓰겠습니다"
2021.03.23,선물로 사줬는데 마음에 들어하네요 ㅎㅎ역시 칼하트짱
2021.03.22,동생선물로 구매했어요 쓸만ㅎㅏ다네요 기뻐요 헤헤
2021.03.20,대학생 느낌 팍팍나요! 너무 색감도 좋고 저장 공간도 넓어서 좋아요! 잘쓰겠습니다!
2021.03.20,너무 이쁘고 좋은데 사진 보단 작은거같아요! 그래도 이뻐요
2021.03.14,수납공간이 작아서 아쉽네요ㅠㅠ작을줄몰랏어요ㅠㅠ 잘쓸게요
2021.03.06,가방이 튼튼하고 좋아요 배송 빠르고 대학생가방으로 좋음
2021.02.25,수납 공간은 엄청 많이 있지는 않음 생각보다 작고 그냥 편하게 맬 수 있는듯
2021.02.24,"고등학생이 쓰기엔 가방이 좀 작아요.
넣을거 많은분들은 다른걸로 ㅎ"
2021.02.24,사이즈가 작다는 말을 들어서 사면서도 걱정했는데 샀는데 키가 작아서 그런지 가방 크기 적당하구 넘 좋아요 ㅎㅎ
2021.02.23,생각보다 조금 작지만 아주 예뻐요 오래쓰겠습니다!!ㅋㅋ
