날짜,리뷰
2022.03.29,"깔꼼한 가방 사고 싶어서 샀어요! 노트북, 아이패드 널널하게 들어가고 수납 공간 많아서 좋아요"
2022.03.24,심플하면서도 약간의 포인트를 주고 싶으신 분들은 반드시 구매하셨으면 좋겠습니다....!
2022.03.23,"깔끔하고 예뻐요 웬만한 책이랑 아이패드, 노트북은 다 들어가요"
2022.03.23,"수납 공간 엄청 넉넉하고 심플해서 너무 예뻐요!!
무게도 딱 괜찮은 것 같아요 가벼워요"
2022.03.18,생각보다 각이 덜 진 느낌..? 나머지는 다 좋았어요! 추천드려요
2022.03.17,"사이즈도 적당하고 튼튼합니다
가볍고 디자인도 괜찮네요"
2022.03.17,역시 칼하트!!! 나를 실망시키지 않는다니깐. 완전 잘 샀어요. 친구들이 다 부러워해요 무조건 사세요!
2022.03.16,심플하고 깔끔한 로고가 포인트에여 대학생 가방으로 잘쓸듯
2022.03.15,적당한 사이즈 가방이에요! 무난하니 어디에나 코디해도 예뻐요!
2022.03.12,통학하면서 들고다닐려고 샀는데 생각보다 이뻐요. 16인치 노트북도 잘 들어갑니다
2022.03.10,무게도 가볍고 디자인도 괜찮고 17인치 노트북 수납이 가능합니다
2022.03.07,진짜 이뻐요 너무 크지도 않고 딱 무난해서 잘 들고 다닐 거 같아요
2022.03.07,생각했던 것보다 더 이쁘고 튼튼해요 넣을거 별로 없어서 수납은 상관없었는데 딱이에욤
2022.03.05,가방 수납공간 많다고 들었는데 저는 머 그냥저냥 했어용 가방 자체는 가벼워서 좋은듯 그리고 예뻐용
2022.03.05,그렇게 안커보이고 수납은 아주 좋습니다. 너무 예뻐요.
2022.03.02,가방 가볍고 무난하고 생각보다 많이 들어가는데 수납공간이 한 칸정도 더 있었으면 하는
2022.02.28,동생 입학선물로 사줬어요! 수납공간도 넓고 이뻐요
2022.02.27,생각보다 작으니까 등판 넓은 남자분들은 고민하고 사세요
2022.02.26,심플하니 제가 딱 원하던 가방입니다 원래 칼하트 가방을 좋아해서 다른 모양을 가지고 있지만 이건 심플해서 더 잘 가지고 다닐거같아영
2022.02.25,"전공책 6개는 거뜬히 들어가고 가방도 튼튼해요
가방 자체의 무게도 가벼워서 편하게 쓸수있어요"
2022.02.23,어디든 다 잘어울리는 역시 칼하트 수납공간 최고!! 심플해서 너무 좋아요
2022.02.04,"끈조절이 약간 부족하긴 한데 그래도 잘쓰고 있습니다
책가방 하나 살까 하다가 남친이 선물해준다고 해서 진짜 잘쓰는중
본인 간호학과 학생인데 무거운 전공책 몇권 넣어도 끄떡없고 맥북 넣어도 진짜 튼튼함
양옆, 앞쪽에 수납공간 진짜 완전 많아서 보부상인 저에겐 너무나 유용한 가방
디자인도 심플하고 가방 자체가 유니크? 칼하트 백팩 동기들이 잘 안써서 겹칠 염려도 없음 암튼 굳 추천"
2022.02.02,실수로 잘못샀는데 크기가 약간 작은거 빼곤 수납공간도 많고 만족해요 책가방보단 그냥 가볍게 에코백처럼 들고다니는게 더 유용한 것같습니다
2022.01.28,막 메고 다닐 백팩 필요해서 샀는데 수납 공간 짱짱하니 짱이에용
2022.01.17,커플가방으로 맞췄는데 어디에나 다 잘 어울려서 잘 쓰고 있어요!
