날짜,리뷰
2022.02.22,생각보다 굉장히 작아요 뭐 작으면 얼마나 작겠어 전공책은 다 들어가겠지 생각했는데 아니에요 ㅎㅎ
2022.02.21,아주아주 이쁘네요 친구들도 이쁘다고 하네요 짱
2022.02.19,너무 심플하고 예뻐서 마음에들어요 잘 사용할게요
2022.02.15,"가방은괜찮은데 수납공간이 넘 적어요.
새거라 지퍼도 ㅜㅜ아직 불편해요"
2022.02.15,"받자마자 신나서 찍었네용 ㅎㅎ 튼튼하고 어깨쪽이 푹신하니 넘 좋아요,, 대학가방으로 안성맞춤 저는 수납공간도 막 엄청 많이 필요한 편이 아니라 딱 좋습니다 ~~"
2022.02.13,맥북 13인치 파우치 넣어서 잘들어가요 길들이는덴 시간 좀 들긴할듯..
2022.02.13,칼하트니까 믿고샀는데 잘 산것 같습니다 대딩인디 들고다니기 예뿌여
2022.02.09,너무크지 않고 딱 적당하고 패드랑 전공책 한 두권 정도가 딱 적당할거같아여
2022.02.06,"15인치 그램 잘 들어가고 아이패드, 전공서적 넣으면 딱 맞는 크기입니다. 중고등학생이 쓰기엔 수납이 좀 아쉬울 것 같긴 합니다"
2022.02.05,디자인 심플하고 가벼워서 잘 들고다닐 수 있을 것 같아용
2022.02.05,"생각보다 작긴 한데
무난하게 쓰기 좋네요
맘에 듭니다 ㅎㅎ"
2022.02.04,무난하고 이뻐요. 너무 무겁지도 않고 가벼운데에 비해 튼튼해 보이구요. 주머니가 적은건 좀 아쉽네요.
2022.01.27,지퍼를 열고 닫을 때 불편하고 가방이 너무 납작해요 가볍게 들고다닐땐 좋을거같아요
2021.12.14,"엄청 튼튼해서 오래 사용할 수 있을 것 같아요
수납공간이 몇개 없다는 점이 조금 아쉽ㅜㅜ"
2021.12.11,"수납공간이 앞주머니 밖에 없어서 아쉽지만, 디자인과 색감이 예쁘고 깔끔해서 어떤 옷에 스타일해도 무난한 것 같네요."
2021.12.10,"칼하트라 역시 재질은 좋습니다 그냥 무난무난해여
가격대비 충분히 살만한듯"
2021.12.02,쪼그마한 키링같은거 달고다니면 뭔가 기분 좋아지는 가방이에요 사이즈도 수납도 적당해서 무난하게 갖고다닐 수 있어요
2021.11.18,디자인은 심플하고 그냥 무난하게 맬 수 있는 가방이에요 ! 다만 가방 열면 안쪽에 따로 분리된거 없이 하나의 공간으로만 되어 있어서 그 부분은 조금 아쉬웠는데 그래도 크기 적당하고 전체적으로는 괜찮아요
2021.11.16,무난하게 매일 잘 들고다니고있어요. 고딩인데 가방 유치해보이지도않고 유행안탈 것 같아서 샀어요.
2021.11.14,처음 들었을때 어깨 부분이 너무 아파서 불편했어요. 그리고 끈 조절하는 부분이 거칠어서 옷이랑 마찰이 생기면서 보풀이 생겨서 불편해요ㅠ 디자인은 너무 마음에 드는데 생각보다 별로인것 같아요
2021.11.13,크기는 좀 작지만 그래도 들어갈건 다 들어요 깔끔해서 예뻐요
2021.11.06,"후드티나 맨투맨에 기본으로 메기 좋아요!
생각했던거보다 사이즈가 작지만 그래도 만족합니다"
2021.11.05,무난무난하게 매기 좋은 백팩인 갓 같아요! 수납공간이 많은 건 아니지만 책 두세권에 필통 물통까지는 들어가는 사이즈에요!
2021.10.31,기본백팩 필요해서 샀는데 막 메고 다니기 좋아요
2021.10.23,너무 예뻐요! 근데 수납 공간이 없어서 좀 아쉬워요
2021.10.22,깔끔한 디자인이라 가볍고 예뻐요! 포켓이 하나밖에 없는게 단점이지만 전 주머니가 많이 필요없어서 신경안쓰였습니다!
2021.10.22,생각보다 안에 들어갈수있는 폭이 커서 좋았습니다
2021.10.20,전체적으로 다 마음에 드는데 수납이 적어서 좀 걸립니다 그래도 휘뚜르 마뚜르 잘 메고 다닙니둥 ~
2021.10.18,"버스에 앉으면 다리가 다 가려지는 크기였어요 !
노트북도 들어가고 생각했던 거보다 많이 들어가더라구요 :)"
2021.10.18,미니멀한 디자인에 실용성좋고 가볍네요 도서관가기에 좋은 가방인듯합니다
2021.10.17,가볍고 많이 들어가고 색도 맘에들고 천도탄탄해서좋다
2021.10.17,앞 주머니에 칸으로 나눠져 있어서 좋은데 큰가방안에는 수납공간이 없어서 아쉽지만 예쁘게 잘 사용중입니다
2021.10.15,"그렇게 크진 않아요
그냥 데일리로 막 메고 다니기 좋음"
2021.10.12,노트북 13인치를 보호 가방에 넣어도 쏙 들어가요 수납공간은 아쉽지만 이곳 저곳 어디든 매치해도 잘 어울려요
2021.10.11,생각했던거 보다 조금 작은데 책 두권정도 넣고 다니기 편해요
2021.10.11,가볍고 보조 가방으로 들기 좋을 것 같음 수납 공간이 그렇게 막 크진 않고 가격 대비 딱 좋은 것 같음
2021.10.08,심플하고 조와요 원하던 디자인 입니다 감사합니다
2021.10.07,가방 뭐살지 고민하다가 남들이 많이 쓰는 칼하트로 샀는데 무난하니 좋아요! 근데 수납공간이 좀 작은게 아쉬워요
2021.10.06,"생각보다 살짝 아기자기 해서 놀라긴했지만
그래도 은근히 수납공간도 많고 들어갈건 다들어가서 좋네요~ 앞주머니에 또 수납 할수있는 칸도있어서 아주 훌륭합니당ㅎㅎ 새거여서 그런지 끈조절하는게 어려웠지만 그래도익숙해 질것같아서 아무 만족스럽습니당 ㅎㅎ"
2021.10.05,"중학생 학원가방으로 좋아요
아들도 좋아하네요"
2021.10.03,휘뚜루마뚜루 착용 가능ㅎ 싼 가격에 잘 샀어요 마음에 듭니당
2021.10.02,사고 싶은데 돈이 없어서 못 사고 있었는데 세일 하길래 그냥 질렀습니다 존좋
2021.10.01,가볍고 수납공간도 딱 적당히 있어서 좋아요 일단 디자인이 다 먹고 들어갑니다
2021.09.30,생각했던것보다 훨씬 색이 예뻐서 좋습니다 가볍게 잘 들고다닐것같아용
2021.09.29,"배송도 빠르고 상품도 예뻐요 로고가 확실히
예쁘네여"
2021.09.28,크기도 적당하고 수납공간도 적당해서 편하게 들고다니기 좋아요
2021.09.25,요즘 백팩들 너무 다 크고 투박해서 거북이 등딱지 같은데 칼하트는 사이즈도 적당하고 디자인도 무난해서 저에게 적당한 것 같습니다.
2021.09.21,만족쓰합니다. 물건도 적당히 들어가고 좋네요큽
2021.09.18,공간 구분은 확실히 적어서 수납공간은 적지만 가방 자체가 막 작진않아요!! 노트북 17인치는 확실히 안 들어가서 보조가방?용으로 쓸 것 같아요
2021.09.18,남성분들이 쓰기에는 좀 작을 수도 있다고 생각이 듭니다 이뻐여
2021.09.18,살짝 작긴한대 캐주얼하게 매고 다니려고 산거라 적당한듯해요
2021.09.17,정말 제가 너무너무 갖고 싶었던 스타일이에요 색깔이나 재질이나 사이즈까지 다 완벽해요 작아보이는데 은근히 많이 들어가고 어느 패션에나 잘 어울려서 앞으로 애용할 것 같아요 고민하는 분들 다들 서두르세요
2021.09.17,"생각보다 크기는 작어요
학원가방용으로구매한거라 간단히 메고다닐수 있네요"
2021.09.16,가방 가이즈는 보통이에요 수납공간은 많지 않지만 그래도 부족하다고 느껴지지는 않아요
2021.09.15,가볍고 좋아요! 예쁘고 근데 다만 새상품이라 빳빳하다는 점..계속 메다보면 괜찮을 것 같아요 ㅎㅎ
2021.09.13,딱 제가 원하던 폭에 원하던 크기여서 매우 만족합니다!
2021.09.12,시험기간에 휘뚜루마뚜루 사용할 수 있는 기본템이에요! 가방 재질이 짱짱해서 무겁게 넣어도 가벼운 느낌
2021.09.12,너무 좋네요 친구 생일 선물로 사줬더니 학교 다시가고싶대요
2021.09.11,일단 학교가방으로는 별로인거 같고요 가볍게 학원 가방으로 좋은거 같아요!
2021.09.10,실물이 훨씬 예뻐요! 수납공간이 크진 않지만 적당하고 가벼워서 좋아요.
2021.09.10,가볍게 들고다닐 백팩이 필요해서 샀어요 옆구리에 주머니 있었으면 좋았겠다 싶어요
2021.09.09,좋아요! 여자가 써도 안커요. 적당한 크기에 재질은 좀 뻣뻣한데 그것대로 매력있어요
2021.09.08,유명한 건 이유가 있는 거 같아요! 이쁘고 깔끔해요
2021.09.08,너무 예쁘고 간단하게 들고 다니기 좋아요 하지만 수납공간이 좀 작다는 느낌
2021.09.08,친구한테 선물해준 가방인데 색도 예쁘고 휘뚜루 마뚜루 매기 좋은 것 같아용!
2021.09.01,한달 됐는데 좋아요! 수납공간이 많은 편은 아니지만 제가 쓰기에는 불편함이 딱히 없었습니다.
2021.09.01,"여자가 사용하기 아주 좋은 사이즈입니다
각도 잘잡혀있고 소재도 튼튼
아주 만족스러워요"
2021.09.01,좋아요. 부담없이 쓸 백팩 찾고있었는데 잘 쓸듯해요
2021.09.01,사이즈는 좀 작고 처음 받았을 때 쫌 빳빳해요. 그래도 짐 적을 때 써먹기 좋아요!
2021.09.01,"고등학생 아들 주려고 구매했는데
애가 덩치가 있어서 그런지 초등학생가방 같아
보여요 애가 도저히 멜 수 없대요
그냥 다른사람 줘야겠어요
반품비가 오천원이에요ㅠ"
2021.08.29,처음에는 먼지도 잘 묻고 수납공간도 부족하다고 생각했는데 생각보단 많이 들어갑니다!
2021.08.28,예뻐욘!! 튼튼하고 앞주머니도 꽤큽니다. 잘쓰겠습니다~
2021.08.27,상당히 마음에 듭니다 저렴한 가격에 잘 산것 같아요
2021.08.26,"마음에 들어요
가끔 앞에 흐믈(?)거리는 가방들 있는데 이건 안 그래서 너무 좋아요 완전 만족해요!"
2021.08.26,"일단 컬러가 ㄹㅈㄷ 너무 예뻐요 ㅠㅠ
할인 할 때 구매했는데 사기 참 잘한듯"
2021.08.21,가방에 수납공간 작을까봐 걱정했었는데 생각보다 많이 들어가고 심플해서 잘 매고 다닐꺼 같아요
2021.08.13,"다른 후기처럼 수납공간이 좀 부족하네요ㅠㅠ 그래도 그거 감안하고 산거라 나름 잘 사용중입니다!
저는 보통 노트북이랑 아이패드, 필통, 충전기 등등 넣어서 다니는데 다 들어가요! 저한테 사이즈는 적당한데, 좀 골격..?있으신분들에겐 작을 것 같아요! 남동생이 메봤는데 좀 작더라구요"
2021.08.12,상품 생각보다 커서 넉넉하게 물건 잘 들어갈 것 같네요:)
2021.08.09,예전부터 살까말까 고민 많이 했었는데 막상 사고나니까 유용하게 잘 쓰고 있고 대학생이 쓰기에 나쁘지 않은 것 같아요!
2021.08.07,이런느낌 가방 원했는데 심플하고 깔끔해서 좋아요. 가방이 흐물거리지 않아서 좋네요!
2021.08.03,역시 생각한대로 너무 이쁘네요 실물이 더 이뻐요
