날짜,리뷰
2022.01.27,"가볍게 들고 다니기 좋아보였어요. 진짜 가볍긴 하구요ㅎ 모양은 사각형태로 좀 각이 잡혔네요. 물건 꺼내고 넣을때 지퍼에 손이 좀 쓸려요. 크로스끈이 이뻐요. 포인트되서 좋아요. 폰, 작은지갑, 그외 이것저것 그래도 어느정도는 들어가요."
2022.01.21,쉽게 더러워지지 않는 재질이고 은은한 광택이있어서 이뻐요! 아무 옷에나 잘 들어져요
2022.01.21,친구 생일 선물로 사줬는데 털 스트랩까지 같이 들어있어서 겨울용으로 딱이에요
2022.01.19,"그전에샀던 스트레치엔젤스백이랑 비슷한데 저건 파니니 뭐였던가 스몰아니고 큰버전인데 가방이 훨가볍구요
사이즈는비슷한데 너비가달라서 수납력 차이커요 파니니가 수납은최고인데 고리가 잘끊어짐 두개샀는데 둘다 퇴근길에 끊어져서 넘슬펐음.. 그럼에도 수납이좋고 넘무난무난해서 수리해서 쓰는중.. 참고로 오른쪽도 그레이인데 코코아에 더가까움 찐그레이백이 필요해서 구매 주말에 한번맸는데 가볍고편해요"
2022.01.13,스트랩이 두개라서 다양하게 연출할 수 있어 좋습니다.
2022.01.13,나일론 소재라 가볍고 망가질 걱정 없이 편하게 착용할 수 있는게 장점 같아욬
2022.01.05,생각보다 작긴 했는데 여기 저기 잘 매치해서 들 수 있을 것 같아요
2022.01.04,후기대로 사이즈는 작아요ㅠㅠ 옆에 아이패드 에어4 비교용으로 둬봤습니당 친구 선물로 샀는데 정말 좋아할 것 같아요ㅎㅎ
2021.12.31,허니제이 광고보고 괜찮아 보여서 선물해줬는데 좋아하네요ㅎㅎ
2021.12.29,"너무귀엽고이뻐용~
털까지있어서
4계절 내내 들기 좋아용♥?"
2021.12.29,너무 예쁘고 작은데 은근 많이 들어가네요 퍼 사은품으로 줄때 잘샀어요 ㅎㅎ
2021.12.29,"타 브랜드 블랙 호보백이 있어서 크림색 샀는데 진짜 개이뻐요 나일론 소재라 가죽에 비해 물건 넣고 꺼내기도 비교적 편하고 스트랩이 있어서 아우터 두꺼운 겨울에도 메기 편해요:)
물건도 많이 들어가는 편이에요"
2021.12.27,여자친구 선물로 사줬어요 사이즈가 생각보단 좀 작지만 좋아하네용ㅎㅎ
2021.12.25,"데일ㄹㅣ로 엄청 자주 할거같아요
다른색상 다 쟁여놓고 싶을정도ㅠㅠ
사은품으로 받은 퍼도 맘에들어요"
2021.12.24,"허제퇴근백 예뻐서 주문한지 이틀만에 겟 했습니다 가방이 정말 아담하고 예뻐요 근데 서비스로 주신 퍼 손잡이는.. 집에서 직장까지 10분 메고 벗었는데 똑딱이가 이미 가방에서 똑 떨어져 있더라고요.. 순간접착제로 붙일거예요.. 깔끔하게 떨어진거 보니까 추워서 그런것 같은데 오늘이 좀 춥긴했어요,, 메리크리스마스이브..."
2021.12.24,가볍게 데일리로 착용하기에 편한 스타일이에요!
2021.12.24,생각보다 작은데 소지품 많이 들어가요! 엄청 기대했는데 실제로 봐도 예뻐서 좋았어용
2021.12.23,스트랩도 귀엽고 가방크기도 적당해서 평소에 보부상인데 무리없이 들 수있을거같아요 ㅎㅎ 다른색상도 구매하고싶네요 ㅜㅜ 굉장히 짱짱해요
2021.12.22,"작고 귀엽고 펄도 뽀송한게 나름 귀엽습니다.

좋네요"
2021.12.22,생각보다 약간 작아서 당황했는데 그래도 귀엽고 좋아요
2021.12.22,진짜 너무너무 예쁘네요. 털도 복슬복슬 귀엽고 따뜻한 느낌이라 겨울에는 털끼고 잫 다닐거 같아요. 에어팟 크기 비교하세요~
2021.12.22,"사진이랑실물똑같구 너무이뻐용
폼폼이는제개인용소장품입니당
데일리로들고다니기좋고간편해용"
2021.12.20,휘뚜루마뚜루 들고다닐 가방이 필요했는데 마침 딱 가격대도 적당한 가방고른거같아 기분이 좋네요 오늘바로 매고나가볼려구요
2021.12.17,너무 예쁘고 깔끔해요 허니제이가방이라고 유명하던데 무난하게 어디든 잘 코디할 수 있을 것 같아요!
2021.12.15,"허니제이 퇴근가방이라고 해서 한번 사봤습니다
나일론 소재라서 스포티룩 또는 캐주얼룩에 잘 어울릴 것 같습니다
사이즈는 작습니다 소지품 몇가지를 넣고 다닐 수 있는 작은 가방입니다 꽤 괜찮네요"
2021.12.07,"생각보다 작아요ㅋㅋ
허니제이 퇴근가방 이뻐서 샀는데 이쁘긴 이쁘네여"
2021.11.28,"허니제이언니 가방이라서 샀어요ㅎㅎ
작고 앙증맞아요 ㅋㅋ"
2021.11.26,귀여워요 생각보다 이것저것 많이 들어가고 크로스로 하고다닐 수도 있어서 좋아요
2021.11.22,추가로 들어있는 로고 스트랩 디자인이 이쁩니다.
2021.11.21,"색이 좀 어둡게 나왔어용
받자마자 너무 맘에 든 가방임!!
저도 퇴근가방으로 들어야겠어요 ㅋㅋ"
