명사,빈도수
찜,1
힙하,1
규,1
안보,1
베드,1
항상,1
폼,1
본체,1
박음질,1
낭낭,1
메보,1
펐,1
커버,1
낫밷인듯,1
넘예뿌단,1
만난,1
괨,1
굳이,1
한가지,1
전부,1
합리,1
가다가,1
돌,1
문대,1
밑바닥,1
이염,1
오염,1
대감,1
어색,1
키키,1
올해,1
판,1
집도,1
차고,1
방,1
프로,1
자기,1
입,1
불량,1
실밥,1
오빠,1
갠,1
툰하,1
참고,1
구도,1
세미,1
정장,1
지지,1
대가,1
페이지,1
칠이,1
쇠,1
냄새,1
기고,1
엉덩이,1
여러,1
민망,1
수난,1
쇼핑몰,1
당장,1
밴딩,1
샤오미,1
판이,1
부터,1
얼른,1
어딘가,1
이삿짐,1
소리,1
별명,1
보시,1
실루엣,1
청,1
자렇,1
할미,1
여우,1
이쎠,1
젛아,1
교양,1
자크,1
평타,1
새내기,1
안겹,1
둘,1
연해,1
주의,1
사촌,1
트렌드,1
쭉,1
여자아이,1
대박,1
단기,1
유독,1
옥,1
오래오래,1
애정,1
마침,1
중간,1
파이팅,1
오우,1
쿠폰,1
보임,1
난,1
인형,1
어유,1
울트라북,1
마지노선,1
듯해,1
팍,1
댕기,1
고장,1
다용,1
쪼끔,1
고삼,1
수용,1
일해,1
아픔,1
잔,1
스포츠,1
굿귯,1
웬만큼,1
그물,1
데샹,1
책드가,1
흐트려지,1
상용,1
거울,1
모나,1
겸,1
줫,1
버핏,1
케,1
판매,1
분위기,1
전환,1
크로스,1
백도,1
우선,1
알앟는데,1
겹,1
랫,1
아래쪽,1
고급,1
허니,1
직장인,1
젤,1
키도,1
외출,1
흐물텅거리,1
바깥쪽,1
설명,1
케이스,1
쪼큼,1
이전,1
본대,1
체격,1
편햐,1
말로,1
표현,1
이구,1
손,1
쁘,1
대용,1
교복,1
운동,1
빅스튜던트,1
적도,1
넓이,1
달라,1
진에사,1
에어,1
오해,1
기엽,1
무척,1
여유,1
마크,1
효율,1
밀착,1
녀,1
누구,1
어울림,1
천,1
마찬가지,1
