명사,빈도수
깅,1
평생,1
손잡이,1
메쉬,1
서비스,1
닐,1
젖,1
사촌동생,1
줫습니더,1
실패,1
경험,1
과금,1
썻,1
이제,1
곧,1
점도,1
해결,1
박하,1
누가,1
중고,1
뭘,1
손색,1
남학생,1
계열,1
여자애,1
군인,1
리용,1
값,1
다해,1
잘못,1
홍대,1
엄첨,1
진리,1
세로,1
앞뒤,1
뒤쪽,1
부피,1
최대,1
특유,1
택배,1
며칠,1
금속,1
바랜,1
공대생,1
필수,1
욧,1
안온,1
잡,1
동사,1
전혀,1
보드,1
겉,1
도라에몽,1
출장,1
읏된다,1
이만,1
찰떡,1
